AIRPORT_SEQ_ID,AIRPORT_ID,AIRPORT,DISPLAY_AIRPORT_NAME,DISPLAY_AIRPORT_CITY_NAME_FULL,AIRPORT_WAC,AIRPORT_COUNTRY_NAME,AIRPORT_COUNTRY_CODE_ISO,AIRPORT_STATE_NAME,AIRPORT_STATE_CODE,AIRPORT_STATE_FIPS,CITY_MARKET_ID,DISPLAY_CITY_MARKET_NAME_FULL,CITY_MARKET_WAC,LAT_DEGREES,LAT_MINUTES,LAT_SECONDS,LATITUDE,LON_DEGREES,LON_MINUTES,LON_SECONDS,LONGITUDE,AIRPORT_IS_CLOSED,AIRPORT_IS_LATEST
1000101,10001,01A,Afognak Lake Airport,"Afognak Lake, AK",1,United States,US,Alaska,AK,2,30001,"Afognak Lake, AK",1,58,6,34,58.10944444,152,54,24,-152.9066667,0,1
1000301,10003,03A,Bear Creek Mining Strip,"Granite Mountain, AK",1,United States,US,Alaska,AK,2,30003,"Granite Mountain, AK",1,65,32,53,65.54805556,161,4,18,-161.0716667,0,1
1000401,10004,04A,Lik Mining Camp,"Lik, AK",1,United States,US,Alaska,AK,2,30004,"Lik, AK",1,68,5,0,68.08333333,163,10,0,-163.1666667,0,1
1000501,10005,05A,Little Squaw Airport,"Little Squaw, AK",1,United States,US,Alaska,AK,2,30005,"Little Squaw, AK",1,67,34,12,67.57,148,11,2,-148.1838889,0,1
1000601,10006,06A,Kizhuyak Bay,"Kizhuyak, AK",1,United States,US,Alaska,AK,2,30006,"Kizhuyak, AK",1,57,44,43,57.74527778,152,52,58,-152.8827778,0,1
1000701,10007,07A,Klawock Seaplane Base,"Klawock, AK",1,United States,US,Alaska,AK,2,30007,"Klawock, AK",1,55,33,17,55.55472222,133,6,6,-133.1016667,0,1
1000801,10008,08A,Elizabeth Island Airport,"Elizabeth Island, AK",1,United States,US,Alaska,AK,2,30008,"Elizabeth Island, AK",1,59,9,25,59.15694444,151,49,45,-151.8291667,0,1
1000901,10009,09A,Augustin Island,"Homer, AK",1,United States,US,Alaska,AK,2,30009,"Homer, AK",1,59,21,46,59.36277778,153,25,50,-153.4305556,0,1
1001001,10010,1B1,Columbia County,"Hudson, NY",22,United States,US,New York,NY,36,30010,"Hudson, NY",22,42,17,20,42.28888889,73,42,37,-73.71027778,0,0
1001002,10010,1B1,Columbia County,"Hudson, NY",22,United States,US,New York,NY,36,30010,"Hudson, NY",22,42,17,29,42.29138889,73,42,37,-73.71027778,0,1
