"PASSENGERS","UNIQUE_CARRIER","ORIGIN_AIRPORT_ID","ORIGIN","DEST_AIRPORT_ID","DEST",
0.00,"27Q",10540,"BED",14293,"PUJ",
0.00,"27Q",10599,"BHM",13605,"NAS",
0.00,"27Q",10800,"BUR",16229,"YVR",
0.00,"27Q",11066,"CMH",12990,"LIR",
0.00,"27Q",16443,"CSL",15618,"VNY",
0.00,"27Q",11697,"FLL",15084,"SXM",
0.00,"27Q",11827,"FXE",11032,"CUN",
0.00,"27Q",12197,"HPN",10444,"AXA",
0.00,"27Q",12758,"KOA",16229,"YVR",
0.00,"27Q",12889,"LAS",14832,"SJD",
0.00,"27Q",13289,"MHH",13303,"MIA",
0.00,"27Q",13289,"MHH",14027,"PBI",
0.00,"27Q",13303,"MIA",10312,"ANU",
0.00,"27Q",13398,"MMU",13605,"NAS",
0.00,"27Q",13605,"NAS",11066,"CMH",
0.00,"27Q",13605,"NAS",13204,"MCO",
0.00,"27Q",13605,"NAS",14683,"SAT",
0.00,"27Q",13796,"OAK",13289,"MHH",
0.00,"27Q",13898,"OPF",13180,"MBJ",
0.00,"27Q",13930,"ORD",15084,"SXM",
0.00,"27Q",13936,"ORL",11032,"CUN",
0.00,"27Q",14027,"PBI",10312,"ANU",
0.00,"27Q",14492,"RDU",13605,"NAS",
0.00,"27Q",14831,"SJC",14832,"SJD",
0.00,"27Q",14831,"SJC",16229,"YVR",
0.00,"27Q",15167,"TEB",11032,"CUN",
0.00,"27Q",15356,"TTN",13289,"MHH",
0.00,"27Q",15618,"VNY",14153,"PLS",
0.00,"27Q",16217,"YUL",10397,"ATL",
0.00,"27Q",16229,"YVR",15618,"VNY",
0.00,"27Q",16271,"YYZ",11042,"CLE",
0.00,"WL",10185,"AEX",12010,"GUA",
0.00,"WL",10185,"AEX",13269,"MGA",
0.00,"WL",10747,"BRO",12010,"GUA",
0.00,"WL",10747,"BRO",14681,"SAP",
0.00,"WL",12010,"GUA",10747,"BRO",
0.00,"WL",12010,"GUA",13303,"MIA",
0.00,"WL",12010,"GUA",14683,"SAT",
0.00,"WL",12073,"HAV",13303,"MIA",
0.00,"WL",12266,"IAH",12010,"GUA",
0.00,"WL",12266,"IAH",14677,"SAL",
0.00,"WL",12266,"IAH",14681,"SAP",
0.00,"WL",13061,"LRD",14677,"SAL",
0.00,"WL",13269,"MGA",13303,"MIA",
0.00,"WL",13303,"MIA",12010,"GUA",
0.00,"WL",13303,"MIA",12073,"HAV",
0.00,"WL",13303,"MIA",14681,"SAP",
0.00,"WL",14677,"SAL",14683,"SAT",
0.00,"WL",14681,"SAP",10747,"BRO",
0.00,"WL",14681,"SAP",13061,"LRD",
0.00,"WL",14681,"SAP",13303,"MIA",
0.00,"WL",14681,"SAP",14683,"SAT",
0.00,"7H",10299,"ANC",14278,"PTP",
0.00,"C5",10257,"ALB",16217,"YUL",
0.00,"C5",16163,"YQB",10257,"ALB",
0.00,"C5",16217,"YUL",14576,"ROC",
0.00,"5V",16477,"QRO",11871,"GDC",
0.00,"5V",14886,"SLW",15295,"TOL",
0.00,"AMQ",10747,"BRO",14879,"SLP",
0.00,"AMQ",10747,"BRO",16078,"YHM",
0.00,"AMQ",14879,"SLP",10599,"BHM",
0.00,"AMQ",14879,"SLP",11996,"GSP",
0.00,"AMQ",14879,"SLP",13061,"LRD",
0.00,"AMQ",16078,"YHM",16091,"YIP",
0.00,"PFQ",12016,"GUM",13162,"MAJ",
0.00,"PFQ",12016,"GUM",14583,"ROR",
0.00,"PFQ",12016,"GUM",15237,"TKK",
0.00,"PFQ",12173,"HNL",13162,"MAJ",
0.00,"PFQ",13162,"MAJ",12016,"GUM",
0.00,"PFQ",13162,"MAJ",12173,"HNL",
0.00,"PFQ",14186,"PNI",12016,"GUM",
0.00,"PFQ",14583,"ROR",12016,"GUM",
0.00,"CZ",10877,"CAN",12892,"LAX",
0.00,"CZ",12892,"LAX",10877,"CAN",
0.00,"CZ",12892,"LAX",14309,"PVG",
0.00,"CZ",13930,"ORD",14309,"PVG",
0.00,"CZ",14309,"PVG",12892,"LAX",
0.00,"CZ",14309,"PVG",13930,"ORD",
0.00,"E7",13252,"MEX",13303,"MIA",
0.00,"E7",13303,"MIA",13252,"MEX",
0.00,"BR",10397,"ATL",15306,"TPE",
0.00,"BR",11298,"DFW",15306,"TPE",
0.00,"BR",12892,"LAX",15306,"TPE",
0.00,"BR",13930,"ORD",15306,"TPE",
0.00,"BR",15306,"TPE",10397,"ATL",
0.00,"BR",15306,"TPE",11298,"DFW",
0.00,"BR",15306,"TPE",12892,"LAX",
0.00,"BR",15306,"TPE",13930,"ORD",
0.00,"ADB",10856,"BZZ",13689,"NJK",
0.00,"ADB",14691,"SBD",13680,"NIM",
0.00,"ADB",15370,"TUL",15258,"TLV",
0.00,"ADB",15570,"VCV",16772,"AE2",
0.00,"ADB",15570,"VCV",10175,"DHF",
0.00,"C8",11298,"DFW",13113,"LUX",
0.00,"C8",12143,"HKG",11298,"DFW",
0.00,"C8",12143,"HKG",12892,"LAX",
0.00,"C8",12143,"HKG",13930,"ORD",
0.00,"C8",12478,"JFK",13113,"LUX",
0.00,"C8",12892,"LAX",13113,"LUX",
0.00,"C8",13560,"MXP",12478,"JFK",
0.00,"C8",13930,"ORD",13113,"LUX",
0.00,"CV",10397,"ATL",13113,"LUX",
0.00,"CV",10971,"CGO",10397,"ATL",
0.00,"CV",10971,"CGO",13930,"ORD",
0.00,"CV",11298,"DFW",13113,"LUX",
0.00,"CV",11298,"DFW",14115,"PIK",
0.00,"CV",11548,"EMA",13930,"ORD",
0.00,"CV",12143,"HKG",11298,"DFW",
0.00,"CV",12143,"HKG",12478,"JFK",
0.00,"CV",12143,"HKG",12892,"LAX",
0.00,"CV",12143,"HKG",12917,"LCK",
0.00,"CV",12143,"HKG",13303,"MIA",
0.00,"CV",12143,"HKG",13930,"ORD",
0.00,"CV",12217,"HSV",13113,"LUX",
0.00,"CV",12266,"IAH",13113,"LUX",
0.00,"CV",12266,"IAH",14115,"PIK",
0.00,"CV",12339,"IND",13113,"LUX",
0.00,"CV",12478,"JFK",13113,"LUX",
0.00,"CV",12478,"JFK",13252,"MEX",
0.00,"CV",12739,"KMQ",13930,"ORD",
0.00,"CV",12832,"KUL",13930,"ORD",
