,PASSENGERS,Passenger Miles,CARRIER_NAME
0,144637180,116627136731,Southwest Airlines Co. Total
1,137916298,186140690281,Delta Air Lines Inc. Total
2,118541411,166869071222,American Airlines Inc. Total
3,95028877,182508547016,United Air Lines Inc. Total
4,35130683,41726258863,JetBlue Airways Total
5,30078314,16965403368,SkyWest Airlines Inc. Total
6,28269616,32330747593,US Airways Inc. Total
7,26002874,12683188091,ExpressJet Airlines Inc. Total
8,22868140,30301282863,Alaska Airlines Inc. Total
9,17629033,17944023815,Spirit Air Lines Total
10,14043606,6774383986,Republic Airlines Total
11,13104187,13329939730,Frontier Airlines Inc. Total
12,12304231,5391180178,Envoy Air Total
13,11416204,6409816100,Mesa Airlines Inc. Total
14,10459770,14437289617,Hawaiian Airlines Inc. Total
15,10279270,5530870384,Endeavor Air Inc. Total
16,9560098,8993561369,Allegiant Air Total
17,9138696,3514221072,PSA Airlines Inc. Total
18,7909194,2300571592,Horizon Air Total
19,7818321,4339150021,Shuttle America Corp. Total
20,7068903,30129557351,British Airways Plc Total
21,6993269,10428209311,Virgin America Total
22,6312190,2286605964,Air Wisconsin Airlines Corp Total
23,5529920,25678566746,Lufthansa German Airlines Total
24,4954755,3506328231,Compass Airlines Total
25,4378275,2446390156,GoJet Airlines LLC d/b/a United Express Total
26,4340453,5867951544,Westjet Total
27,3875015,5666136855,Air Canada Total
28,3590723,15212198022,Virgin Atlantic Airways Total
29,3574270,15465856424,Compagnie Natl Air France Total
30,3119687,4986415173,Aeromexico Total
31,3012129,21694105342,Emirates Total
32,2979313,1316075314,Trans States Airlines Total
33,2930579,4273327882,Air Canada rouge LP Total
34,2904775,486004483,Piedmont Airlines Total
35,2655328,14661486502,Korean Air Lines Co. Ltd. Total
36,2604874,3134984144,Sun Country Airlines d/b/a MN Airlines Total
37,2230792,3262603006,Concesionaria Vuela Compania De Aviacion SA de CV (Volaris) Total
38,2134182,10032529396,Japan Air Lines Co. Ltd. Total
39,2061716,3827809373,Compania Panamena (Copa) Total
40,2024429,14836212813,Cathay Pacific Airways Ltd. Total
41,1816652,7295007053,Transportes Aeros Meridiona Total
42,1765881,1048149343,Jazz Aviation LP Total
43,1681191,7643405166,Klm Royal Dutch Airlines Total
