,PASSENGERS,Passenger_Miles,CARRIER_NAME,Operating_Revenue_in_thousands
0,144637180,1.17E+11,Southwest Airlines Co. Total,"21,965,049"
1,137916298,1.86E+11,Delta Air Lines Inc. Total,"44,537,997"
2,118541411,1.67E+11,American Airlines Inc. Total,"44,529,814"
3,95028877,1.83E+11,United Air Lines Inc. Total,"41,303,230"
4,35130683,41726258863,JetBlue Airways Total,"7,658,451"
5,30078314,16965403368,SkyWest Airlines Inc. Total,"2,653,555"
6,28269616,32330747593,US Airways Inc. Total,"257,057"
7,26002874,12683188091,ExpressJet Airlines Inc. Total,"564,201"
8,22868140,30301282863,Alaska Airlines Inc. Total,"8,259,807"
9,17629033,17944023815,Spirit Air Lines Total,"3,323,035"
10,14043606,6774383986,Republic Airlines Total,"1,284,615"
11,13104187,13329939730,Frontier Airlines Inc. Total,"2,155,858"
12,12304231,5391180178,Envoy Air Total,"1,227,198"
13,11416204,6409816100,Mesa Airlines Inc. Total,"695,068"
14,10459770,14437289617,Hawaiian Airlines Inc. Total,"2,827,216"
15,10279270,5530870384,Endeavor Air Inc. Total,"595,869"
16,9560098,8993561369,Allegiant Air Total,"1,596,808"
17,9138696,3514221072,PSA Airlines Inc. Total,"670,908"
18,7909194,2300571592,Horizon Air Total,"510,333"
19,7818321,4339150021,Shuttle America Corp. Total,"241,211"
20,7068903,30129557351,British Airways Plc Total,"616,442"
