,PASSENGERS,Passenger Miles,CARRIER_NAME-ORIGIN_CITY_NAME-DEST_CITY_NAME
0,901242930,1.30121E+12,Grand Total Total
1,1061526,808294378,"Delta Air Lines Inc.-Atlanta, GA-New York, NY Total Total"
2,1047732,797803500,"Delta Air Lines Inc.-New York, NY-Atlanta, GA Total Total"
3,1025421,414270084,"Delta Air Lines Inc.-Orlando, FL-Atlanta, GA Total Total"
4,1022276,412999504,"Delta Air Lines Inc.-Atlanta, GA-Orlando, FL Total Total"
5,976248,1067279178,"American Airlines Inc.-Miami, FL-New York, NY Total Total"
6,966296,1193375560,"American Airlines Inc.-Dallas/Fort Worth, TX-Los Angeles, CA Total Total"
7,961273,1050907668,"American Airlines Inc.-New York, NY-Miami, FL Total Total"
8,950381,1173720535,"American Airlines Inc.-Los Angeles, CA-Dallas/Fort Worth, TX Total Total"
9,929682,505143067,"Delta Air Lines Inc.-Atlanta, GA-Washington, DC Total Total"
10,929395,504959818,"Delta Air Lines Inc.-Washington, DC-Atlanta, GA Total Total"
11,864661,86466100,"Hawaiian Airlines Inc.-Kahului, HI-Honolulu, HI Total Total"
12,857176,85717600,"Hawaiian Airlines Inc.-Honolulu, HI-Kahului, HI Total Total"
13,843113,489848653,"Delta Air Lines Inc.-Atlanta, GA-Fort Lauderdale, FL Total Total"
14,842994,489779514,"Delta Air Lines Inc.-Fort Lauderdale, FL-Atlanta, GA Total Total"
15,791897,321510182,"Delta Air Lines Inc.-Tampa, FL-Atlanta, GA Total Total"
16,785771,319023026,"Delta Air Lines Inc.-Atlanta, GA-Tampa, FL Total Total"
17,757680,556033240,"American Airlines Inc.-Chicago, IL-New York, NY Total Total"
18,746266,547630833,"American Airlines Inc.-New York, NY-Chicago, IL Total Total"
19,745966,1452395802,"Delta Air Lines Inc.-Atlanta, GA-Los Angeles, CA Total Total"
20,743659,596414518,"American Airlines Inc.-Chicago, IL-Dallas/Fort Worth, TX Total Total"
21,742706,1371035276,"United Air Lines Inc.-San Francisco, CA-Chicago, IL Total Total"
22,741302,1368443933,"United Air Lines Inc.-Chicago, IL-San Francisco, CA Total Total"
23,738529,443866404,"Delta Air Lines Inc.-Atlanta, GA-Chicago, IL Total Total"
24,737915,591807830,"American Airlines Inc.-Dallas/Fort Worth, TX-Chicago, IL Total Total"
25,735482,1431983454,"Delta Air Lines Inc.-Los Angeles, CA-Atlanta, GA Total Total"
26,727694,437303604,"Delta Air Lines Inc.-Chicago, IL-Atlanta, GA Total Total"
27,702640,2424990967,"British Airways Plc-London, United Kingdom-New York, NY Total Total"
28,695176,965773580,"American Airlines Inc.-Dallas/Fort Worth, TX-New York, NY Total Total"
29,692377,961872867,"American Airlines Inc.-New York, NY-Dallas/Fort Worth, TX Total Total"
30,692185,2388972015,"British Airways Plc-New York, NY-London, United Kingdom Total Total"
31,685635,992799480,"Alaska Airlines Inc.-Anchorage, AK-Seattle, WA Total Total"
32,676200,979137600,"Alaska Airlines Inc.-Seattle, WA-Anchorage, AK Total Total"
33,674666,109970558,"Hawaiian Airlines Inc.-Kona, HI-Honolulu, HI Total Total"
34,670302,109259226,"Hawaiian Airlines Inc.-Honolulu, HI-Kona, HI Total Total"
35,666659,635993426,"Alaska Airlines Inc.-Seattle, WA-Los Angeles, CA Total Total"
36,664464,633899301,"Alaska Airlines Inc.-Los Angeles, CA-Seattle, WA Total Total"
37,660492,910818468,"United Air Lines Inc.-Houston, TX-Los Angeles, CA Total Total"
38,656438,177238260,"Delta Air Lines Inc.-Jacksonville, FL-Atlanta, GA Total Total"
39,656135,1682986275,"United Air Lines Inc.-San Francisco, CA-Newark, NJ Total Total"
40,649324,614274812,"JetBlue Airways-New York, NY-Orlando, FL Total Total"
41,646644,174593880,"Delta Air Lines Inc.-Atlanta, GA-Jacksonville, FL Total Total"
42,643962,609191070,"JetBlue Airways-Orlando, FL-New York, NY Total Total"
43,642859,1648933335,"United Air Lines Inc.-Newark, NJ-San Francisco, CA Total Total"
44,636622,682290266,"JetBlue Airways-Fort Lauderdale, FL-New York, NY Total Total"
45,635303,680880304,"JetBlue Airways-New York, NY-Fort Lauderdale, FL Total Total"
46,633505,64617510,"Hawaiian Airlines Inc.-Honolulu, HI-Lihue, HI Total Total"
47,633476,64614552,"Hawaiian Airlines Inc.-Lihue, HI-Honolulu, HI Total Total"
48,633236,751637672,"American Airlines Inc.-Washington, DC-Dallas/Fort Worth, TX Total Total"
49,631650,749769500,"American Airlines Inc.-Dallas/Fort Worth, TX-Washington, DC Total Total"
50,630334,869230586,"United Air Lines Inc.-Los Angeles, CA-Houston, TX Total Total"
51,619004,147941956,"Southwest Airlines Co.-Houston, TX-Dallas, TX Total Total"
52,617151,691826271,"American Airlines Inc.-Miami, FL-Dallas/Fort Worth, TX Total Total"
53,615763,147167357,"Southwest Airlines Co.-Dallas, TX-Houston, TX Total Total"
54,612956,687123676,"American Airlines Inc.-Dallas/Fort Worth, TX-Miami, FL Total Total"
55,610251,362489094,"Delta Air Lines Inc.-Atlanta, GA-Miami, FL Total Total"
56,610108,553367956,"Delta Air Lines Inc.-Minneapolis, MN-Atlanta, GA Total Total"
57,609267,552605169,"Delta Air Lines Inc.-Atlanta, GA-Minneapolis, MN Total Total"
58,604902,359311788,"Delta Air Lines Inc.-Miami, FL-Atlanta, GA Total Total"
59,604841,1054842704,"United Air Lines Inc.-Los Angeles, CA-Chicago, IL Total Total"
60,600470,114089300,"American Airlines Inc.-Austin, TX-Dallas/Fort Worth, TX Total Total"
61,592306,112538140,"American Airlines Inc.-Dallas/Fort Worth, TX-Austin, TX Total Total"
62,585894,208578264,"Delta Air Lines Inc.-Raleigh/Durham, NC-Atlanta, GA Total Total"
63,584749,248518325,"Delta Air Lines Inc.-New Orleans, LA-Atlanta, GA Total Total"
64,584228,1433695512,"United Air Lines Inc.-Los Angeles, CA-Newark, NJ Total Total"
65,580806,549442476,"Delta Air Lines Inc.-Atlanta, GA-Boston, MA Total Total"
66,578646,245924550,"Delta Air Lines Inc.-Atlanta, GA-New Orleans, LA Total Total"
67,575949,313892205,"Delta Air Lines Inc.-West Palm Beach/Palm Beach, FL-Atlanta, GA Total Total"
68,575027,543975542,"Delta Air Lines Inc.-Boston, MA-Atlanta, GA Total Total"
69,574815,204634140,"Delta Air Lines Inc.-Atlanta, GA-Raleigh/Durham, NC Total Total"
70,571833,311648985,"Delta Air Lines Inc.-Atlanta, GA-West Palm Beach/Palm Beach, FL Total Total"
71,571324,339366456,"Delta Air Lines Inc.-Atlanta, GA-Detroit, MI Total Total"
72,563662,1383226548,"United Air Lines Inc.-Newark, NJ-Los Angeles, CA Total Total"
73,561415,138669505,"American Airlines Inc.-Dallas/Fort Worth, TX-San Antonio, TX Total Total"
74,561059,333269046,"Delta Air Lines Inc.-Detroit, MI-Atlanta, GA Total Total"
75,556997,137578259,"American Airlines Inc.-San Antonio, TX-Dallas/Fort Worth, TX Total Total"
76,553937,966066128,"United Air Lines Inc.-Chicago, IL-Los Angeles, CA Total Total"
77,548875,579063125,"American Airlines Inc.-Dallas/Fort Worth, TX-Las Vegas, NV Total Total"
78,546855,471389010,"United Air Lines Inc.-Houston, TX-Denver, CO Total Total"
79,546302,470912324,"United Air Lines Inc.-Denver, CO-Houston, TX Total Total"
80,540477,570203235,"American Airlines Inc.-Las Vegas, NV-Dallas/Fort Worth, TX Total Total"
81,540373,791106072,"American Airlines Inc.-Dallas/Fort Worth, TX-San Francisco, CA Total Total"
82,539973,359622018,"Delta Air Lines Inc.-Atlanta, GA-Philadelphia, PA Total Total"
83,539311,394236341,"Delta Air Lines Inc.-Atlanta, GA-Dallas/Fort Worth, TX Total Total"
84,538636,116345376,"Hawaiian Airlines Inc.-Honolulu, HI-Hilo, HI Total Total"
85,534917,491764743,"American Airlines Inc.-Miami, FL-Washington, DC Total Total"
86,529018,864944430,"United Air Lines Inc.-Houston, TX-San Francisco, CA Total Total"
87,528377,351899082,"Delta Air Lines Inc.-Philadelphia, PA-Atlanta, GA Total Total"
88,527165,119139290,"Delta Air Lines Inc.-Charlotte, NC-Atlanta, GA Total Total"
89,525796,483383600,"American Airlines Inc.-Washington, DC-Miami, FL Total Total"
90,523623,766584072,"American Airlines Inc.-San Francisco, CA-Dallas/Fort Worth, TX Total Total"
91,523281,484034485,"United Air Lines Inc.-Chicago, IL-Houston, TX Total Total"
92,523026,483799050,"United Air Lines Inc.-Houston, TX-Chicago, IL Total Total"
