Latest available 2019 data is July  
ORIGIN_STATE_ABR,Description,N/A(PCT_ONTIME_DEP)
"AK","Alaska",89.3800
"AL","Alabama",80.1300
"AR","Arkansas",80.6600
"AZ","Arizona",78.9400
"CA","California",79.1000
"CO","Colorado",74.0400
"CT","Connecticut",81.6100
"FL","Florida",77.9200
"GA","Georgia",80.7100
"HI","Hawaii",89.6400
"IA","Iowa",79.1500
"ID","Idaho",86.2100
"IL","Illinois",71.0500
"IN","Indiana",80.3600
"KS","Kansas",78.3300
"KY","Kentucky",79.4500
"LA","Louisiana",78.3200
"MA","Massachusetts",75.6100
"MD","Maryland",75.6200
"ME","Maine",78.1800
"MI","Michigan",80.8700
"MN","Minnesota",82.5200
"MO","Missouri",76.5800
"MS","Mississippi",79.9100
"MT","Montana",85.9300
"NC","North Carolina",78.2100
"ND","North Dakota",80.0500
"NE","Nebraska",81.2600
"NH","New Hampshire",84.1600
"NJ","New Jersey",71.9800
"NM","New Mexico",81.7100
"NV","Nevada",77.8200
"NY","New York",76.4400
"OH","Ohio",80.2200
"OK","Oklahoma",80.6600
"OR","Oregon",84.8900
"PA","Pennsylvania",79.9300
"PR","Puerto Rico",76.8400
"RI","Rhode Island",79.9300
"SC","South Carolina",80.5500
"SD","South Dakota",78.0800
"TN","Tennessee",78.6700
"TT","U.S. Pacific Trust Territories and Possessions",88.3900
"TX","Texas",75.8100
"UT","Utah",84.8700
"VA","Virginia",79.4100
"VI","U.S. Virgin Islands",83.5300
"VT","Vermont",77.0900
"WA","Washington",83.1400
"WI","Wisconsin",79.9900
"WV","West Virginia",75.0100
"WY","Wyoming",79.5200
"All Rows","All Rows (including those not displayed)",78.2900
