Latitude_x,Longitude_x,Latitude_y,Longitude_y,cumsum_proportion
40.64,-73.78,51.47,-0.46,0.000876
51.47,-0.46,40.64,-73.78,0.001731
51.47,-0.46,40.64,-73.78,0.002551
40.64,-73.78,51.47,-0.46,0.003311
51.47,-0.46,40.64,-73.78,0.004057
40.64,-73.78,51.47,-0.46,0.004776
26.07,-80.15,45.47,-73.74,0.005465
40.64,-73.78,51.47,-0.46,0.006149
40.64,-73.78,49.01,2.55,0.00683
40.78,-73.87,43.68,-79.63,0.007486
51.47,-0.46,40.64,-73.78,0.008116
28.43,-81.31,43.68,-79.63,0.008745
49.01,2.55,40.64,-73.78,0.009369
43.68,-79.63,40.78,-73.87,0.009991
25.25,55.36,40.64,-73.78,0.010602
32.9,-97.04,21.04,-86.88,0.011207
21.04,-86.88,33.64,-84.43,0.011806
21.04,-86.88,32.9,-97.04,0.012399
45.47,-73.74,26.07,-80.15,0.01299
33.64,-84.43,21.04,-86.88,0.013577
43.68,-79.63,28.43,-81.31,0.014155
25.79,-80.29,51.47,-0.46,0.014733
40.64,-73.78,51.47,-0.46,0.0153
49.01,2.55,40.64,-73.78,0.015865
26.07,-80.15,43.68,-79.63,0.016426
40.64,-73.78,51.47,-0.46,0.016987
40.78,-73.87,43.68,-79.63,0.017545
51.47,-0.46,40.64,-73.78,0.018102
51.47,-0.46,40.64,-73.78,0.018652
25.08,121.23,37.62,-122.38,0.019201
19.41,-70.6,40.64,-73.78,0.019748
40.64,-73.78,49.01,2.55,0.020293
43.68,-79.63,40.78,-73.87,0.020838
40.78,-73.87,43.68,-79.63,0.021378
22.31,113.92,37.62,-122.38,0.021911
43.68,-79.63,40.78,-73.87,0.022441
25.79,-80.29,51.47,-0.46,0.022962
29.98,-95.34,21.04,-86.88,0.023483
18.43,-69.67,40.64,-73.78,0.024001
32.9,-97.04,51.47,-0.46,0.024513
25.08,121.23,33.94,-118.41,0.025023
45.47,-73.74,26.07,-80.15,0.02553
49.01,2.55,40.64,-73.78,0.026032
40.64,-73.78,25.25,55.36,0.026534
37.47,126.45,33.94,-118.41,0.027034
26.07,-80.15,45.47,-73.74,0.027534
37.62,-122.38,25.08,121.23,0.028033
51.47,-0.46,25.79,-80.29,0.028532
43.68,-79.63,26.07,-80.15,0.02903
21.04,-86.88,29.98,-95.34,0.029528
40.64,-73.78,49.01,2.55,0.030024
51.47,-0.46,25.79,-80.29,0.030521
21.04,-86.88,32.9,-97.04,0.031013
22.31,113.92,33.94,-118.41,0.031503
21.04,-86.88,33.64,-84.43,0.031991
25.79,-80.29,51.47,-0.46,0.032477
19.41,-70.6,40.64,-73.78,0.032962
45.47,-73.74,26.07,-80.15,0.033446
33.94,-118.41,25.08,121.23,0.033929
51.47,-0.46,25.79,-80.29,0.034411
33.94,-118.41,37.47,126.45,0.034892
25.25,55.36,40.64,-73.78,0.035372
51.47,-0.46,32.9,-97.04,0.035847
37.62,-122.38,22.31,113.92,0.036317
32.9,-97.04,21.04,-86.88,0.036786
22.31,113.92,40.64,-73.78,0.037252
33.94,-118.41,43.68,-79.63,0.037719
40.64,-73.78,19.41,-70.6,0.038185
43.68,-79.63,28.43,-81.31,0.038648
25.79,-80.29,9.07,-79.38,0.03911
9.07,-79.38,25.79,-80.29,0.039569
33.94,-118.41,22.31,113.92,0.040027
33.94,-118.41,51.47,-0.46,0.040484
51.47,-0.46,32.9,-97.04,0.04094
22.31,113.92,33.94,-118.41,0.041396
18.43,-69.67,40.64,-73.78,0.04185
9.07,-79.38,25.79,-80.29,0.042303
25.79,-80.29,43.68,-79.63,0.042754
26.07,-80.15,45.47,-73.74,0.043204
25.08,121.23,33.94,-118.41,0.043653
13.48,144.8,35.76,140.39,0.044101
25.08,121.23,37.62,-122.38,0.044548
33.64,-84.43,43.68,-79.63,0.044994
40.69,-74.17,51.47,-0.46,0.045439
21.04,-86.88,32.9,-97.04,0.045883
22.31,113.92,37.62,-122.38,0.046326
33.94,-118.41,37.47,126.45,0.046766
43.68,-79.63,33.94,-118.41,0.047205
32.9,-97.04,51.47,-0.46,0.047643
32.9,-97.04,21.04,-86.88,0.04808
33.94,-118.41,25.08,121.23,0.048515
21.04,-86.88,33.64,-84.43,0.048951
40.08,116.58,33.94,-118.41,0.049383
33.64,-84.43,21.04,-86.88,0.049814
13.48,144.8,35.76,140.39,0.050245
35.76,140.39,13.48,144.8,0.050675
33.94,-118.41,22.31,113.92,0.051104
37.47,126.45,33.94,-118.41,0.051533
21.04,-86.88,25.79,-80.29,0.051959
21.04,-86.88,25.79,-80.29,0.052385
51.47,-0.46,33.94,-118.41,0.052808
43.68,-79.63,26.07,-80.15,0.05323
25.79,-80.29,9.07,-79.38,0.053651
51.47,-0.46,33.94,-118.41,0.054072
37.62,-122.38,22.31,113.92,0.054491
28.43,-81.31,43.68,-79.63,0.05491
35.76,140.39,13.48,144.8,0.055326
43.68,-79.63,33.64,-84.43,0.055741
22.99,-82.41,25.79,-80.29,0.056156
25.79,-80.29,21.04,-86.88,0.056571
40.64,-73.78,18.43,-69.67,0.056986
25.08,121.23,37.62,-122.38,0.057399
37.47,126.45,40.64,-73.78,0.05781
37.62,-122.38,25.08,121.23,0.05822
42.21,-83.35,52.31,4.76,0.05863
33.94,-118.41,40.08,116.58,0.05904
22.31,113.92,40.64,-73.78,0.05945
40.64,-73.78,19.41,-70.6,0.059859
25.08,121.23,33.94,-118.41,0.060269
33.94,-118.41,25.08,121.23,0.060678
40.64,-73.78,18.43,-69.67,0.061086
43.68,-79.63,33.94,-118.41,0.061494
19.41,-70.6,40.64,-73.78,0.061902
9.07,-79.38,25.79,-80.29,0.062308
40.64,-73.78,55.97,37.41,0.062714
40.64,-73.78,51.15,-0.19,0.06312
40.69,-74.17,51.47,-0.46,0.063524
43.68,-79.63,33.94,-118.41,0.063929
40.64,-73.78,51.47,-0.46,0.064334
40.64,-73.78,25.25,55.36,0.064738
25.25,55.36,40.64,-73.78,0.065142
25.79,-80.29,9.07,-79.38,0.065544
25.79,-80.29,21.04,-86.88,0.065947
52.31,4.76,42.21,-83.35,0.066349
33.64,-84.43,21.04,-86.88,0.066751
20.52,-103.31,33.94,-118.41,0.067152
51.47,-0.46,40.64,-73.78,0.067552
19.44,-99.07,33.94,-118.41,0.067952
13.48,144.8,35.76,140.39,0.068348
40.64,-73.78,22.31,113.92,0.068744
40.64,-73.78,19.41,-70.6,0.069138
33.94,-118.41,51.47,-0.46,0.069533
26.07,-80.15,43.68,-79.63,0.069926
-23.44,-46.47,25.79,-80.29,0.07032
4.7,-74.15,25.79,-80.29,0.070713
33.94,-118.41,37.47,126.45,0.071106
40.64,-73.78,22.31,113.92,0.071498
26.54,-81.76,43.68,-79.63,0.071889
40.64,-73.78,25.25,55.36,0.07228
33.94,-118.41,19.44,-99.07,0.07267
14.51,121.02,33.94,-118.41,0.073059
33.94,-118.41,43.68,-79.63,0.073448
35.76,140.39,13.48,144.8,0.073836
33.94,-118.41,22.31,113.92,0.074223
51.47,-0.46,40.69,-74.17,0.07461
37.62,-122.38,25.08,121.23,0.074994
33.94,-118.41,43.68,-79.63,0.075377
22.99,-82.41,25.79,-80.29,0.07576
43.68,-79.63,25.79,-80.29,0.076139
25.79,-80.29,22.99,-82.41,0.076517
33.64,-84.43,43.68,-79.63,0.076894
25.79,-80.29,21.04,-86.88,0.077271
33.94,-118.41,37.47,126.45,0.077646
26.07,-80.15,43.68,-79.63,0.078021
33.94,-118.41,37.47,126.45,0.078396
43.68,-79.63,33.64,-84.43,0.078771
19.44,-99.07,33.94,-118.41,0.079145
43.68,-79.63,33.64,-84.43,0.079519
37.62,-122.38,22.31,113.92,0.079893
25.79,-80.29,4.7,-74.15,0.080264
25.79,-80.29,-23.44,-46.47,0.080635
40.08,116.58,33.94,-118.41,0.081004
33.94,-118.41,19.44,-99.07,0.081374
33.94,-118.41,37.47,126.45,0.081743
37.47,126.45,33.94,-118.41,0.082111
19.44,-99.07,40.64,-73.78,0.082479
33.94,-118.41,14.51,121.02,0.082848
33.64,-84.43,43.68,-79.63,0.083215
25.79,-80.29,-23.44,-46.47,0.083582
22.31,113.92,37.62,-122.38,0.083948
9.07,-79.38,28.43,-81.31,0.084314
21.04,-86.88,29.98,-95.34,0.08468
33.64,-84.43,25.04,-77.47,0.085046
32.9,-97.04,51.47,-0.46,0.085411
18.43,-69.67,25.79,-80.29,0.085776
19.44,-99.07,29.98,-95.34,0.08614
49.19,-123.18,33.94,-118.41,0.086503
40.64,-73.78,18.43,-69.67,0.086867
33.94,-118.41,49.01,2.55,0.08723
22.31,113.92,33.94,-118.41,0.087591
18.43,-69.67,40.64,-73.78,0.087953
25.04,-77.47,33.64,-84.43,0.088313
-34.82,-58.54,25.79,-80.29,0.088672
51.47,-0.46,42.36,-71.01,0.089031
22.31,113.92,33.94,-118.41,0.08939
33.64,-84.43,52.31,4.76,0.089749
21.04,-86.88,25.79,-80.29,0.090107
51.47,-0.46,32.9,-97.04,0.090464
